(31 December 2023, 21:36) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:45) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:46) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:46) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:46) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:46) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Inner clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:47) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:48) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | INFO : 'Outer clipped image done' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'Enter if(mode == 'mp') at mix_images function' 
(31 December 2023, 21:49) | image_mixer.py | DEBUG : 'calculate inverse fft for mix_images function' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:52) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ViewOriginal class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize VeiwWeight class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'The user open D:/projects/project/task4/Fourier-Transform-Mixer/forest.jpeg' 
(31 December 2023, 21:58) | image_mixer.py | INFO : 'Initialize ImageMixer class' 
